Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	1.2246e-015	10.	0.	
2	20.	10.	0.	
3	0.	0.	0.	
4	26.762	0.	0.	
5	26.762	1.	0.	
6	20.	1.	0.	
7	25.623	0.66667	0.	
8	25.611	0.33333	0.	
9	24.484	0.66667	0.	
10	24.46	0.33333	0.	
11	23.345	0.66667	0.	
12	23.308	0.33333	0.	
13	22.205	0.66667	0.	
14	22.157	0.33333	0.	
15	21.066	0.66667	0.	
16	21.005	0.33333	0.	
17	1.1679	0.3816	0.	
18	1.1722	0.7632	0.	
19	1.1765	1.1448	0.	
20	1.1765	1.5298	0.	
21	1.1765	1.9148	0.	
22	1.1765	2.2998	0.	
23	1.1765	2.6848	0.	
24	1.1765	3.0698	0.	
25	1.1765	3.4548	0.	
26	1.1765	3.8399	0.	
27	1.1765	4.2249	0.	
28	1.1765	4.6099	0.	
29	1.1765	4.9949	0.	
30	1.1765	5.3799	0.	
31	1.1765	5.7649	0.	
32	1.1765	6.1499	0.	
33	1.1765	6.5349	0.	
34	1.1765	6.9199	0.	
35	1.1765	7.3049	0.	
36	1.1765	7.6899	0.	
37	1.1765	8.075	0.	
38	1.1765	8.46	0.	
39	1.1765	8.845	0.	
40	1.1765	9.23	0.	
41	1.1765	9.615	0.	
42	2.3358	0.37858	0.	
43	2.3443	0.75716	0.	
44	2.3529	1.1357	0.	
45	2.3529	1.5211	0.	
46	2.3529	1.9066	0.	
47	2.3529	2.292	0.	
48	2.3529	2.6774	0.	
49	2.3529	3.0628	0.	
50	2.3529	3.4482	0.	
51	2.3529	3.8336	0.	
52	2.3529	4.219	0.	
53	2.3529	4.6044	0.	
54	2.3529	4.9898	0.	
55	2.3529	5.3752	0.	
56	2.3529	5.7606	0.	
57	2.3529	6.146	0.	
58	2.3529	6.5314	0.	
59	2.3529	6.9168	0.	
60	2.3529	7.3022	0.	
61	2.3529	7.6876	0.	
62	2.3529	8.073	0.	
63	2.3529	8.4584	0.	
64	2.3529	8.8438	0.	
65	2.3529	9.2292	0.	
66	2.3529	9.6146	0.	
67	3.5036	0.37557	0.	
68	3.5165	0.75113	0.	
69	3.5294	1.1267	0.	
70	3.5294	1.5125	0.	
71	3.5294	1.8983	0.	
72	3.5294	2.2841	0.	
73	3.5294	2.6699	0.	
74	3.5294	3.0557	0.	
75	3.5294	3.4415	0.	
76	3.5294	3.8273	0.	
77	3.5294	4.2131	0.	
78	3.5294	4.5989	0.	
79	3.5294	4.9847	0.	
80	3.5294	5.3705	0.	
81	3.5294	5.7562	0.	
82	3.5294	6.142	0.	
83	3.5294	6.5278	0.	
84	3.5294	6.9136	0.	
85	3.5294	7.2994	0.	
86	3.5294	7.6852	0.	
87	3.5294	8.071	0.	
88	3.5294	8.4568	0.	
89	3.5294	8.8426	0.	
90	3.5294	9.2284	0.	
91	3.5294	9.6142	0.	
92	4.6715	0.37255	0.	
93	4.6887	0.7451	0.	
94	4.7059	1.1176	0.	
95	4.7059	1.5038	0.	
96	4.7059	1.89	0.	
97	4.7059	2.2762	0.	
98	4.7059	2.6624	0.	
99	4.7059	3.0486	0.	
100	4.7059	3.4348	0.	
101	4.7059	3.821	0.	
102	4.7059	4.2072	0.	
103	4.7059	4.5934	0.	
104	4.7059	4.9795	0.	
105	4.7059	5.3657	0.	
106	4.7059	5.7519	0.	
107	4.7059	6.1381	0.	
108	4.7059	6.5243	0.	
109	4.7059	6.9105	0.	
110	4.7059	7.2967	0.	
111	4.7059	7.6829	0.	
112	4.7059	8.0691	0.	
113	4.7059	8.4552	0.	
114	4.7059	8.8414	0.	
115	4.7059	9.2276	0.	
116	4.7059	9.6138	0.	
117	5.8394	0.36953	0.	
118	5.8609	0.73906	0.	
119	5.8824	1.1086	0.	
120	5.8824	1.4952	0.	
121	5.8824	1.8818	0.	
122	5.8824	2.2683	0.	
123	5.8824	2.6549	0.	
124	5.8824	3.0415	0.	
125	5.8824	3.4281	0.	
126	5.8824	3.8147	0.	
127	5.8824	4.2013	0.	
128	5.8824	4.5878	0.	
129	5.8824	4.9744	0.	
130	5.8824	5.361	0.	
131	5.8824	5.7476	0.	
132	5.8824	6.1342	0.	
133	5.8824	6.5208	0.	
134	5.8824	6.9073	0.	
135	5.8824	7.2939	0.	
136	5.8824	7.6805	0.	
137	5.8824	8.0671	0.	
138	5.8824	8.4537	0.	
139	5.8824	8.8403	0.	
140	5.8824	9.2268	0.	
141	5.8824	9.6134	0.	
142	7.0073	0.36652	0.	
143	7.033	0.73303	0.	
144	7.0588	1.0995	0.	
145	7.0588	1.4865	0.	
146	7.0588	1.8735	0.	
147	7.0588	2.2605	0.	
148	7.0588	2.6475	0.	
149	7.0588	3.0344	0.	
150	7.0588	3.4214	0.	
151	7.0588	3.8084	0.	
152	7.0588	4.1954	0.	
153	7.0588	4.5823	0.	
154	7.0588	4.9693	0.	
155	7.0588	5.3563	0.	
156	7.0588	5.7433	0.	
157	7.0588	6.1302	0.	
158	7.0588	6.5172	0.	
159	7.0588	6.9042	0.	
160	7.0588	7.2912	0.	
161	7.0588	7.6781	0.	
162	7.0588	8.0651	0.	
163	7.0588	8.4521	0.	
164	7.0588	8.8391	0.	
165	7.0588	9.226	0.	
166	7.0588	9.613	0.	
167	8.1752	0.3635	0.	
168	8.2052	0.727	0.	
169	8.2353	1.0905	0.	
170	8.2353	1.4779	0.	
171	8.2353	1.8652	0.	
172	8.2353	2.2526	0.	
173	8.2353	2.64	0.	
174	8.2353	3.0273	0.	
175	8.2353	3.4147	0.	
176	8.2353	3.8021	0.	
177	8.2353	4.1895	0.	
178	8.2353	4.5768	0.	
179	8.2353	4.9642	0.	
180	8.2353	5.3516	0.	
181	8.2353	5.7389	0.	
182	8.2353	6.1263	0.	
183	8.2353	6.5137	0.	
184	8.2353	6.901	0.	
185	8.2353	7.2884	0.	
186	8.2353	7.6758	0.	
187	8.2353	8.0632	0.	
188	8.2353	8.4505	0.	
189	8.2353	8.8379	0.	
190	8.2353	9.2253	0.	
191	8.2353	9.6126	0.	
192	9.343	0.36048	0.	
193	9.3774	0.72097	0.	
194	9.4118	1.0814	0.	
195	9.4118	1.4692	0.	
196	9.4118	1.857	0.	
197	9.4118	2.2447	0.	
198	9.4118	2.6325	0.	
199	9.4118	3.0203	0.	
200	9.4118	3.408	0.	
201	9.4118	3.7958	0.	
202	9.4118	4.1836	0.	
203	9.4118	4.5713	0.	
204	9.4118	4.9591	0.	
205	9.4118	5.3468	0.	
206	9.4118	5.7346	0.	
207	9.4118	6.1224	0.	
208	9.4118	6.5101	0.	
209	9.4118	6.8979	0.	
210	9.4118	7.2857	0.	
211	9.4118	7.6734	0.	
212	9.4118	8.0612	0.	
213	9.4118	8.4489	0.	
214	9.4118	8.8367	0.	
215	9.4118	9.2245	0.	
216	9.4118	9.6122	0.	
217	10.511	0.35747	0.	
218	10.55	0.71493	0.	
219	10.588	1.0724	0.	
220	10.588	1.4606	0.	
221	10.588	1.8487	0.	
222	10.588	2.2369	0.	
223	10.588	2.625	0.	
224	10.588	3.0132	0.	
225	10.588	3.4013	0.	
226	10.588	3.7895	0.	
227	10.588	4.1777	0.	
228	10.588	4.5658	0.	
229	10.588	4.954	0.	
230	10.588	5.3421	0.	
231	10.588	5.7303	0.	
232	10.588	6.1184	0.	
233	10.588	6.5066	0.	
234	10.588	6.8947	0.	
235	10.588	7.2829	0.	
236	10.588	7.6711	0.	
237	10.588	8.0592	0.	
238	10.588	8.4474	0.	
239	10.588	8.8355	0.	
240	10.588	9.2237	0.	
241	10.588	9.6118	0.	
242	11.679	0.35445	0.	
243	11.722	0.7089	0.	
244	11.765	1.0633	0.	
245	11.765	1.4519	0.	
246	11.765	1.8404	0.	
247	11.765	2.229	0.	
248	11.765	2.6175	0.	
249	11.765	3.0061	0.	
250	11.765	3.3946	0.	
251	11.765	3.7832	0.	
252	11.765	4.1717	0.	
253	11.765	4.5603	0.	
254	11.765	4.9488	0.	
255	11.765	5.3374	0.	
256	11.765	5.7259	0.	
257	11.765	6.1145	0.	
258	11.765	6.503	0.	
259	11.765	6.8916	0.	
260	11.765	7.2801	0.	
261	11.765	7.6687	0.	
262	11.765	8.0572	0.	
263	11.765	8.4458	0.	
264	11.765	8.8343	0.	
265	11.765	9.2229	0.	
266	11.765	9.6114	0.	
267	12.847	0.35143	0.	
268	12.894	0.70287	0.	
269	12.941	1.0543	0.	
270	12.941	1.4432	0.	
271	12.941	1.8322	0.	
272	12.941	2.2211	0.	
273	12.941	2.6101	0.	
274	12.941	2.999	0.	
275	12.941	3.388	0.	
276	12.941	3.7769	0.	
277	12.941	4.1658	0.	
278	12.941	4.5548	0.	
279	12.941	4.9437	0.	
280	12.941	5.3327	0.	
281	12.941	5.7216	0.	
282	12.941	6.1106	0.	
283	12.941	6.4995	0.	
284	12.941	6.8885	0.	
285	12.941	7.2774	0.	
286	12.941	7.6663	0.	
287	12.941	8.0553	0.	
288	12.941	8.4442	0.	
289	12.941	8.8332	0.	
290	12.941	9.2221	0.	
291	12.941	9.6111	0.	
292	14.015	0.34842	0.	
293	14.066	0.69683	0.	
294	14.118	1.0452	0.	
295	14.118	1.4346	0.	
296	14.118	1.8239	0.	
297	14.118	2.2133	0.	
298	14.118	2.6026	0.	
299	14.118	2.9919	0.	
300	14.118	3.3813	0.	
301	14.118	3.7706	0.	
302	14.118	4.1599	0.	
303	14.118	4.5493	0.	
304	14.118	4.9386	0.	
305	14.118	5.328	0.	
306	14.118	5.7173	0.	
307	14.118	6.1066	0.	
308	14.118	6.496	0.	
309	14.118	6.8853	0.	
310	14.118	7.2746	0.	
311	14.118	7.664	0.	
312	14.118	8.0533	0.	
313	14.118	8.4427	0.	
314	14.118	8.832	0.	
315	14.118	9.2213	0.	
316	14.118	9.6107	0.	
317	15.182	0.3454	0.	
318	15.238	0.6908	0.	
319	15.294	1.0362	0.	
320	15.294	1.4259	0.	
321	15.294	1.8157	0.	
322	15.294	2.2054	0.	
323	15.294	2.5951	0.	
324	15.294	2.9849	0.	
325	15.294	3.3746	0.	
326	15.294	3.7643	0.	
327	15.294	4.154	0.	
328	15.294	4.5438	0.	
329	15.294	4.9335	0.	
330	15.294	5.3232	0.	
331	15.294	5.713	0.	
332	15.294	6.1027	0.	
333	15.294	6.4924	0.	
334	15.294	6.8822	0.	
335	15.294	7.2719	0.	
336	15.294	7.6616	0.	
337	15.294	8.0513	0.	
338	15.294	8.4411	0.	
339	15.294	8.8308	0.	
340	15.294	9.2205	0.	
341	15.294	9.6103	0.	
342	16.35	0.34238	0.	
343	16.41	0.68477	0.	
344	16.471	1.0271	0.	
345	16.471	1.4173	0.	
346	16.471	1.8074	0.	
347	16.471	2.1975	0.	
348	16.471	2.5876	0.	
349	16.471	2.9778	0.	
350	16.471	3.3679	0.	
351	16.471	3.758	0.	
352	16.471	4.1481	0.	
353	16.471	4.5383	0.	
354	16.471	4.9284	0.	
355	16.471	5.3185	0.	
356	16.471	5.7086	0.	
357	16.471	6.0988	0.	
358	16.471	6.4889	0.	
359	16.471	6.879	0.	
360	16.471	7.2691	0.	
361	16.471	7.6593	0.	
362	16.471	8.0494	0.	
363	16.471	8.4395	0.	
364	16.471	8.8296	0.	
365	16.471	9.2198	0.	
366	16.471	9.6099	0.	
367	17.518	0.33937	0.	
368	17.583	0.67873	0.	
369	17.647	1.0181	0.	
370	17.647	1.4086	0.	
371	17.647	1.7991	0.	
372	17.647	2.1897	0.	
373	17.647	2.5802	0.	
374	17.647	2.9707	0.	
375	17.647	3.3612	0.	
376	17.647	3.7517	0.	
377	17.647	4.1422	0.	
378	17.647	4.5328	0.	
379	17.647	4.9233	0.	
380	17.647	5.3138	0.	
381	17.647	5.7043	0.	
382	17.647	6.0948	0.	
383	17.647	6.4853	0.	
384	17.647	6.8759	0.	
385	17.647	7.2664	0.	
386	17.647	7.6569	0.	
387	17.647	8.0474	0.	
388	17.647	8.4379	0.	
389	17.647	8.8284	0.	
390	17.647	9.219	0.	
391	17.647	9.6095	0.	
392	18.686	0.33635	0.	
393	18.755	0.6727	0.	
394	18.824	1.009	0.	
395	18.824	1.4	0.	
396	18.824	1.7909	0.	
397	18.824	2.1818	0.	
398	18.824	2.5727	0.	
399	18.824	2.9636	0.	
400	18.824	3.3545	0.	
401	18.824	3.7454	0.	
402	18.824	4.1363	0.	
403	18.824	4.5272	0.	
404	18.824	4.9182	0.	
405	18.824	5.3091	0.	
406	18.824	5.7	0.	
407	18.824	6.0909	0.	
408	18.824	6.4818	0.	
409	18.824	6.8727	0.	
410	18.824	7.2636	0.	
411	18.824	7.6545	0.	
412	18.824	8.0454	0.	
413	18.824	8.4364	0.	
414	18.824	8.8273	0.	
415	18.824	9.2182	0.	
416	18.824	9.6091	0.	
417	19.927	0.66667	0.	
418	19.854	0.33333	0.	
419	20.	9.6087	0.	
420	20.	9.2174	0.	
421	20.	8.8261	0.	
422	20.	8.4348	0.	
423	20.	8.0435	0.	
424	20.	7.6522	0.	
425	20.	7.2609	0.	
426	20.	6.8696	0.	
427	20.	6.4783	0.	
428	20.	6.087	0.	
429	20.	5.6957	0.	
430	20.	5.3043	0.	
431	20.	4.913	0.	
432	20.	4.5217	0.	
433	20.	4.1304	0.	
434	20.	3.7391	0.	
435	20.	3.3478	0.	
436	20.	2.9565	0.	
437	20.	2.5652	0.	
438	20.	2.1739	0.	
439	20.	1.7826	0.	
440	20.	1.3913	0.	
441	25.635	1.	0.	
442	24.508	1.	0.	
443	23.381	1.	0.	
444	22.254	1.	0.	
445	21.127	1.	0.	
446	26.762	0.66667	0.	
447	26.762	0.33333	0.	
448	25.599	0.	0.	
449	24.435	0.	0.	
450	23.272	0.	0.	
451	22.108	0.	0.	
452	20.944	0.	0.	
453	19.781	0.	0.	
454	18.617	0.	0.	
455	17.454	0.	0.	
456	16.29	0.	0.	
457	15.127	0.	0.	
458	13.963	0.	0.	
459	12.799	0.	0.	
460	11.636	0.	0.	
461	10.472	0.	0.	
462	9.3087	0.	0.	
463	8.1451	0.	0.	
464	6.9815	0.	0.	
465	5.8179	0.	0.	
466	4.6543	0.	0.	
467	3.4907	0.	0.	
468	2.3272	0.	0.	
469	1.1636	0.	0.	
