Element Number	Nodes			
1	1716	7	1727	5
2	1717	11	7	1716
3	1718	15	11	1717
4	1719	19	15	1718
5	1720	23	19	1719
6	1721	27	23	1720
7	1722	31	27	1721
8	1723	35	31	1722
9	1724	39	35	1723
10	1725	43	39	1724
11	1726	47	43	1725
12	6	1668	47	1726
13	7	8	1728	1727
14	11	12	8	7
15	15	16	12	11
16	19	20	16	15
17	23	24	20	19
18	27	28	24	23
19	31	32	28	27
20	35	36	32	31
21	39	40	36	35
22	43	44	40	39
23	47	48	44	43
24	1668	1669	48	47
25	8	9	1729	1728
26	12	13	9	8
27	16	17	13	12
28	20	21	17	16
29	24	25	21	20
30	28	29	25	24
31	32	33	29	28
32	36	37	33	32
33	40	41	37	36
34	44	45	41	40
35	48	49	45	44
36	1669	1670	49	48
37	9	10	1730	1729
38	13	14	10	9
39	17	18	14	13
40	21	22	18	17
41	25	26	22	21
42	29	30	26	25
43	33	34	30	29
44	37	38	34	33
45	41	42	38	37
46	45	46	42	41
47	49	50	46	45
48	1670	1671	50	49
49	10	1731	4	1730
50	14	1732	1731	10
51	18	1733	1732	14
52	22	1734	1733	18
53	26	1735	1734	22
54	30	1736	1735	26
55	34	1737	1736	30
56	38	1738	1737	34
57	42	1739	1738	38
58	46	1740	1739	42
59	50	1741	1740	46
60	1671	1742	1741	50
61	1775	51	1776	3
62	1774	100	51	1775
63	1773	149	100	1774
64	1772	198	149	1773
65	1771	247	198	1772
66	1770	296	247	1771
67	1769	345	296	1770
68	1768	394	345	1769
69	1767	443	394	1768
70	1766	492	443	1767
71	1765	541	492	1766
72	1764	590	541	1765
73	1763	639	590	1764
74	1762	688	639	1763
75	1761	737	688	1762
76	1760	786	737	1761
77	1759	835	786	1760
78	1758	884	835	1759
79	1757	933	884	1758
80	1756	982	933	1757
81	1755	1031	982	1756
82	1754	1080	1031	1755
83	1753	1129	1080	1754
84	1752	1178	1129	1753
85	1751	1227	1178	1752
86	1750	1276	1227	1751
87	1749	1325	1276	1750
88	1748	1374	1325	1749
89	1747	1423	1374	1748
90	1746	1472	1423	1747
91	1745	1521	1472	1746
92	1744	1570	1521	1745
93	1743	1619	1570	1744
94	1742	1671	1619	1743
95	51	52	1777	1776
96	100	101	52	51
97	149	150	101	100
98	198	199	150	149
99	247	248	199	198
100	296	297	248	247
101	345	346	297	296
102	394	395	346	345
103	443	444	395	394
104	492	493	444	443
105	541	542	493	492
106	590	591	542	541
107	639	640	591	590
108	688	689	640	639
109	737	738	689	688
110	786	787	738	737
111	835	836	787	786
112	884	885	836	835
113	933	934	885	884
114	982	983	934	933
115	1031	1032	983	982
116	1080	1081	1032	1031
117	1129	1130	1081	1080
118	1178	1179	1130	1129
119	1227	1228	1179	1178
120	1276	1277	1228	1227
121	1325	1326	1277	1276
122	1374	1375	1326	1325
123	1423	1424	1375	1374
124	1472	1473	1424	1423
125	1521	1522	1473	1472
126	1570	1571	1522	1521
127	1619	1620	1571	1570
128	1671	1670	1620	1619
129	52	53	1778	1777
130	101	102	53	52
131	150	151	102	101
132	199	200	151	150
133	248	249	200	199
134	297	298	249	248
135	346	347	298	297
136	395	396	347	346
137	444	445	396	395
138	493	494	445	444
139	542	543	494	493
140	591	592	543	542
141	640	641	592	591
142	689	690	641	640
143	738	739	690	689
144	787	788	739	738
145	836	837	788	787
146	885	886	837	836
147	934	935	886	885
148	983	984	935	934
149	1032	1033	984	983
150	1081	1082	1033	1032
151	1130	1131	1082	1081
152	1179	1180	1131	1130
153	1228	1229	1180	1179
154	1277	1278	1229	1228
155	1326	1327	1278	1277
156	1375	1376	1327	1326
157	1424	1425	1376	1375
158	1473	1474	1425	1424
159	1522	1523	1474	1473
160	1571	1572	1523	1522
161	1620	1621	1572	1571
162	1670	1669	1621	1620
163	53	54	1779	1778
164	102	103	54	53
165	151	152	103	102
166	200	201	152	151
167	249	250	201	200
168	298	299	250	249
169	347	348	299	298
170	396	397	348	347
171	445	446	397	396
172	494	495	446	445
173	543	544	495	494
174	592	593	544	543
175	641	642	593	592
176	690	691	642	641
177	739	740	691	690
178	788	789	740	739
179	837	838	789	788
180	886	887	838	837
181	935	936	887	886
182	984	985	936	935
183	1033	1034	985	984
184	1082	1083	1034	1033
185	1131	1132	1083	1082
186	1180	1181	1132	1131
187	1229	1230	1181	1180
188	1278	1279	1230	1229
189	1327	1328	1279	1278
190	1376	1377	1328	1327
191	1425	1426	1377	1376
192	1474	1475	1426	1425
193	1523	1524	1475	1474
194	1572	1573	1524	1523
195	1621	1622	1573	1572
196	1669	1668	1622	1621
197	54	55	1780	1779
198	103	104	55	54
199	152	153	104	103
200	201	202	153	152
201	250	251	202	201
202	299	300	251	250
203	348	349	300	299
204	397	398	349	348
205	446	447	398	397
206	495	496	447	446
207	544	545	496	495
208	593	594	545	544
209	642	643	594	593
210	691	692	643	642
211	740	741	692	691
212	789	790	741	740
213	838	839	790	789
214	887	888	839	838
215	936	937	888	887
216	985	986	937	936
217	1034	1035	986	985
218	1083	1084	1035	1034
219	1132	1133	1084	1083
220	1181	1182	1133	1132
221	1230	1231	1182	1181
222	1279	1280	1231	1230
223	1328	1329	1280	1279
224	1377	1378	1329	1328
225	1426	1427	1378	1377
226	1475	1476	1427	1426
227	1524	1525	1476	1475
228	1573	1574	1525	1524
229	1622	1623	1574	1573
230	1668	6	1623	1622
231	55	56	1781	1780
232	104	105	56	55
233	153	154	105	104
234	202	203	154	153
235	251	252	203	202
236	300	301	252	251
237	349	350	301	300
238	398	399	350	349
239	447	448	399	398
240	496	497	448	447
241	545	546	497	496
242	594	595	546	545
243	643	644	595	594
244	692	693	644	643
245	741	742	693	692
246	790	791	742	741
247	839	840	791	790
248	888	889	840	839
249	937	938	889	888
250	986	987	938	937
251	1035	1036	987	986
252	1084	1085	1036	1035
253	1133	1134	1085	1084
254	1182	1183	1134	1133
255	1231	1232	1183	1182
256	1280	1281	1232	1231
257	1329	1330	1281	1280
258	1378	1379	1330	1329
259	1427	1428	1379	1378
260	1476	1477	1428	1427
261	1525	1526	1477	1476
262	1574	1575	1526	1525
263	1623	1624	1575	1574
264	6	1715	1624	1623
265	56	57	1782	1781
266	105	106	57	56
267	154	155	106	105
268	203	204	155	154
269	252	253	204	203
270	301	302	253	252
271	350	351	302	301
272	399	400	351	350
273	448	449	400	399
274	497	498	449	448
275	546	547	498	497
276	595	596	547	546
277	644	645	596	595
278	693	694	645	644
279	742	743	694	693
280	791	792	743	742
281	840	841	792	791
282	889	890	841	840
283	938	939	890	889
284	987	988	939	938
285	1036	1037	988	987
286	1085	1086	1037	1036
287	1134	1135	1086	1085
288	1183	1184	1135	1134
289	1232	1233	1184	1183
290	1281	1282	1233	1232
291	1330	1331	1282	1281
292	1379	1380	1331	1330
293	1428	1429	1380	1379
294	1477	1478	1429	1428
295	1526	1527	1478	1477
296	1575	1576	1527	1526
297	1624	1625	1576	1575
298	1715	1714	1625	1624
299	57	58	1783	1782
300	106	107	58	57
301	155	156	107	106
302	204	205	156	155
303	253	254	205	204
304	302	303	254	253
305	351	352	303	302
306	400	401	352	351
307	449	450	401	400
308	498	499	450	449
309	547	548	499	498
310	596	597	548	547
311	645	646	597	596
312	694	695	646	645
313	743	744	695	694
314	792	793	744	743
315	841	842	793	792
316	890	891	842	841
317	939	940	891	890
318	988	989	940	939
319	1037	1038	989	988
320	1086	1087	1038	1037
321	1135	1136	1087	1086
322	1184	1185	1136	1135
323	1233	1234	1185	1184
324	1282	1283	1234	1233
325	1331	1332	1283	1282
326	1380	1381	1332	1331
327	1429	1430	1381	1380
328	1478	1479	1430	1429
329	1527	1528	1479	1478
330	1576	1577	1528	1527
331	1625	1626	1577	1576
332	1714	1713	1626	1625
333	58	59	1784	1783
334	107	108	59	58
335	156	157	108	107
336	205	206	157	156
337	254	255	206	205
338	303	304	255	254
339	352	353	304	303
340	401	402	353	352
341	450	451	402	401
342	499	500	451	450
343	548	549	500	499
344	597	598	549	548
345	646	647	598	597
346	695	696	647	646
347	744	745	696	695
348	793	794	745	744
349	842	843	794	793
350	891	892	843	842
351	940	941	892	891
352	989	990	941	940
353	1038	1039	990	989
354	1087	1088	1039	1038
355	1136	1137	1088	1087
356	1185	1186	1137	1136
357	1234	1235	1186	1185
358	1283	1284	1235	1234
359	1332	1333	1284	1283
360	1381	1382	1333	1332
361	1430	1431	1382	1381
362	1479	1480	1431	1430
363	1528	1529	1480	1479
364	1577	1578	1529	1528
365	1626	1627	1578	1577
366	1713	1712	1627	1626
367	59	60	1785	1784
368	108	109	60	59
369	157	158	109	108
370	206	207	158	157
371	255	256	207	206
372	304	305	256	255
373	353	354	305	304
374	402	403	354	353
375	451	452	403	402
376	500	501	452	451
377	549	550	501	500
378	598	599	550	549
379	647	648	599	598
380	696	697	648	647
381	745	746	697	696
382	794	795	746	745
383	843	844	795	794
384	892	893	844	843
385	941	942	893	892
386	990	991	942	941
387	1039	1040	991	990
388	1088	1089	1040	1039
389	1137	1138	1089	1088
