Element Number	Nodes			
1	441	7	446	5
2	442	9	7	441
3	443	11	9	442
4	444	13	11	443
5	445	15	13	444
6	6	417	15	445
7	7	8	447	446
8	9	10	8	7
9	11	12	10	9
10	13	14	12	11
11	15	16	14	13
12	417	418	16	15
13	8	448	4	447
14	10	449	448	8
15	12	450	449	10
16	14	451	450	12
17	16	452	451	14
18	418	453	452	16
19	469	17	470	3
20	468	42	17	469
21	467	67	42	468
22	466	92	67	467
23	465	117	92	466
24	464	142	117	465
25	463	167	142	464
26	462	192	167	463
27	461	217	192	462
28	460	242	217	461
29	459	267	242	460
30	458	292	267	459
31	457	317	292	458
32	456	342	317	457
33	455	367	342	456
34	454	392	367	455
35	453	418	392	454
36	17	18	471	470
37	42	43	18	17
38	67	68	43	42
39	92	93	68	67
40	117	118	93	92
41	142	143	118	117
42	167	168	143	142
43	192	193	168	167
44	217	218	193	192
45	242	243	218	217
46	267	268	243	242
47	292	293	268	267
48	317	318	293	292
49	342	343	318	317
50	367	368	343	342
51	392	393	368	367
52	418	417	393	392
53	18	19	472	471
54	43	44	19	18
55	68	69	44	43
56	93	94	69	68
57	118	119	94	93
58	143	144	119	118
59	168	169	144	143
60	193	194	169	168
61	218	219	194	193
62	243	244	219	218
63	268	269	244	243
64	293	294	269	268
65	318	319	294	293
66	343	344	319	318
67	368	369	344	343
68	393	394	369	368
69	417	6	394	393
70	19	20	473	472
71	44	45	20	19
72	69	70	45	44
73	94	95	70	69
74	119	120	95	94
75	144	145	120	119
76	169	170	145	144
77	194	195	170	169
78	219	220	195	194
79	244	245	220	219
80	269	270	245	244
81	294	295	270	269
82	319	320	295	294
83	344	345	320	319
84	369	370	345	344
85	394	395	370	369
86	6	440	395	394
87	20	21	474	473
88	45	46	21	20
89	70	71	46	45
90	95	96	71	70
91	120	121	96	95
92	145	146	121	120
93	170	171	146	145
94	195	196	171	170
95	220	221	196	195
96	245	246	221	220
97	270	271	246	245
98	295	296	271	270
99	320	321	296	295
100	345	346	321	320
101	370	371	346	345
102	395	396	371	370
103	440	439	396	395
104	21	22	475	474
105	46	47	22	21
106	71	72	47	46
107	96	97	72	71
108	121	122	97	96
109	146	147	122	121
110	171	172	147	146
111	196	197	172	171
112	221	222	197	196
113	246	247	222	221
114	271	272	247	246
115	296	297	272	271
116	321	322	297	296
117	346	347	322	321
118	371	372	347	346
119	396	397	372	371
120	439	438	397	396
121	22	23	476	475
122	47	48	23	22
123	72	73	48	47
124	97	98	73	72
125	122	123	98	97
126	147	148	123	122
127	172	173	148	147
128	197	198	173	172
129	222	223	198	197
130	247	248	223	222
131	272	273	248	247
132	297	298	273	272
133	322	323	298	297
134	347	348	323	322
135	372	373	348	347
136	397	398	373	372
137	438	437	398	397
138	23	24	477	476
139	48	49	24	23
140	73	74	49	48
141	98	99	74	73
142	123	124	99	98
143	148	149	124	123
144	173	174	149	148
145	198	199	174	173
146	223	224	199	198
147	248	249	224	223
148	273	274	249	248
149	298	299	274	273
150	323	324	299	298
151	348	349	324	323
152	373	374	349	348
153	398	399	374	373
154	437	436	399	398
155	24	25	478	477
156	49	50	25	24
157	74	75	50	49
158	99	100	75	74
159	124	125	100	99
160	149	150	125	124
161	174	175	150	149
162	199	200	175	174
163	224	225	200	199
164	249	250	225	224
165	274	275	250	249
166	299	300	275	274
167	324	325	300	299
168	349	350	325	324
169	374	375	350	349
170	399	400	375	374
171	436	435	400	399
172	25	26	479	478
173	50	51	26	25
174	75	76	51	50
175	100	101	76	75
176	125	126	101	100
177	150	151	126	125
178	175	176	151	150
179	200	201	176	175
180	225	226	201	200
181	250	251	226	225
182	275	276	251	250
183	300	301	276	275
184	325	326	301	300
185	350	351	326	325
186	375	376	351	350
187	400	401	376	375
188	435	434	401	400
189	26	27	480	479
190	51	52	27	26
191	76	77	52	51
192	101	102	77	76
193	126	127	102	101
194	151	152	127	126
195	176	177	152	151
196	201	202	177	176
197	226	227	202	201
198	251	252	227	226
199	276	277	252	251
200	301	302	277	276
201	326	327	302	301
202	351	352	327	326
203	376	377	352	351
204	401	402	377	376
205	434	433	402	401
206	27	28	481	480
207	52	53	28	27
208	77	78	53	52
209	102	103	78	77
210	127	128	103	102
211	152	153	128	127
212	177	178	153	152
213	202	203	178	177
214	227	228	203	202
215	252	253	228	227
216	277	278	253	252
217	302	303	278	277
218	327	328	303	302
219	352	353	328	327
220	377	378	353	352
221	402	403	378	377
222	433	432	403	402
223	28	29	482	481
224	53	54	29	28
225	78	79	54	53
226	103	104	79	78
227	128	129	104	103
228	153	154	129	128
229	178	179	154	153
230	203	204	179	178
231	228	229	204	203
232	253	254	229	228
233	278	279	254	253
234	303	304	279	278
235	328	329	304	303
236	353	354	329	328
237	378	379	354	353
238	403	404	379	378
239	432	431	404	403
240	29	30	483	482
241	54	55	30	29
242	79	80	55	54
243	104	105	80	79
244	129	130	105	104
245	154	155	130	129
246	179	180	155	154
247	204	205	180	179
248	229	230	205	204
249	254	255	230	229
250	279	280	255	254
251	304	305	280	279
252	329	330	305	304
253	354	355	330	329
254	379	380	355	354
255	404	405	380	379
256	431	430	405	404
257	30	31	484	483
258	55	56	31	30
259	80	81	56	55
260	105	106	81	80
261	130	131	106	105
262	155	156	131	130
263	180	181	156	155
264	205	206	181	180
265	230	231	206	205
266	255	256	231	230
267	280	281	256	255
268	305	306	281	280
269	330	331	306	305
270	355	356	331	330
271	380	381	356	355
272	405	406	381	380
273	430	429	406	405
274	31	32	485	484
275	56	57	32	31
276	81	82	57	56
277	106	107	82	81
278	131	132	107	106
279	156	157	132	131
280	181	182	157	156
281	206	207	182	181
282	231	232	207	206
283	256	257	232	231
284	281	282	257	256
285	306	307	282	281
286	331	332	307	306
287	356	357	332	331
288	381	382	357	356
289	406	407	382	381
290	429	428	407	406
291	32	33	486	485
292	57	58	33	32
293	82	83	58	57
294	107	108	83	82
295	132	133	108	107
296	157	158	133	132
297	182	183	158	157
298	207	208	183	182
299	232	233	208	207
300	257	258	233	232
301	282	283	258	257
302	307	308	283	282
303	332	333	308	307
304	357	358	333	332
305	382	383	358	357
306	407	408	383	382
307	428	427	408	407
308	33	34	487	486
309	58	59	34	33
310	83	84	59	58
311	108	109	84	83
312	133	134	109	108
313	158	159	134	133
314	183	184	159	158
315	208	209	184	183
316	233	234	209	208
317	258	259	234	233
318	283	284	259	258
319	308	309	284	283
320	333	334	309	308
321	358	359	334	333
322	383	384	359	358
323	408	409	384	383
324	427	426	409	408
325	34	35	488	487
326	59	60	35	34
327	84	85	60	59
328	109	110	85	84
329	134	135	110	109
330	159	160	135	134
331	184	185	160	159
332	209	210	185	184
333	234	235	210	209
334	259	260	235	234
335	284	285	260	259
336	309	310	285	284
337	334	335	310	309
338	359	360	335	334
339	384	385	360	359
340	409	410	385	384
341	426	425	410	409
342	35	36	489	488
343	60	61	36	35
344	85	86	61	60
345	110	111	86	85
346	135	136	111	110
347	160	161	136	135
348	185	186	161	160
349	210	211	186	185
350	235	236	211	210
351	260	261	236	235
352	285	286	261	260
353	310	311	286	285
354	335	336	311	310
355	360	361	336	335
356	385	386	361	360
357	410	411	386	385
358	425	424	411	410
359	36	37	490	489
360	61	62	37	36
361	86	87	62	61
362	111	112	87	86
363	136	137	112	111
364	161	162	137	136
365	186	187	162	161
366	211	212	187	186
367	236	237	212	211
368	261	262	237	236
369	286	287	262	261
370	311	312	287	286
371	336	337	312	311
372	361	362	337	336
373	386	387	362	361
374	411	412	387	386
375	424	423	412	411
376	37	38	491	490
377	62	63	38	37
378	87	88	63	62
379	112	113	88	87
380	137	138	113	112
381	162	163	138	137
382	187	188	163	162
383	212	213	188	187
384	237	238	213	212
385	262	263	238	237
386	287	288	263	262
387	312	313	288	287
388	337	338	313	312
389	362	363	338	337
390	387	388	363	362
391	412	413	388	387
392	423	422	413	412
393	38	39	492	491
394	63	64	39	38
395	88	89	64	63
396	113	114	89	88
397	138	139	114	113
398	163	164	139	138
399	188	189	164	163
400	213	214	189	188
401	238	239	214	213
402	263	264	239	238
403	288	289	264	263
404	313	314	289	288
405	338	339	314	313
406	363	364	339	338
407	388	389	364	363
408	413	414	389	388
409	422	421	414	413
410	39	40	493	492
411	64	65	40	39
412	89	90	65	64
413	114	115	90	89
414	139	140	115	114
415	164	165	140	139
416	189	190	165	164
417	214	215	190	189
418	239	240	215	214
419	264	265	240	239
420	289	290	265	264
421	314	315	290	289
422	339	340	315	314
423	364	365	340	339
424	389	390	365	364
425	414	415	390	389
426	421	420	415	414
427	40	41	494	493
428	65	66	41	40
429	90	91	66	65
430	115	116	91	90
431	140	141	116	115
432	165	166	141	140
433	190	191	166	165
434	215	216	191	190
435	240	241	216	215
436	265	266	241	240
437	290	291	266	265
438	315	316	291	290
439	340	341	316	315
440	365	366	341	340
441	390	391	366	365
442	415	416	391	390
443	420	419	416	415
444	41	495	1	494
445	66	496	495	41
446	91	497	496	66
447	116	498	497	91
448	141	499	498	116
449	166	500	499	141
450	191	501	500	166
451	216	502	501	191
452	241	503	502	216
453	266	504	503	241
454	291	505	504	266
455	316	506	505	291
456	341	507	506	316
457	366	508	507	341
458	391	509	508	366
459	416	510	509	391
460	419	2	510	416
