Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	1.2246e-015	10.	0.	
2	20.	10.	0.	
3	0.	0.	0.	
4	26.762	0.	0.	
5	26.762	1.	0.	
6	20.	1.	0.	
7	26.195	0.8	0.	
8	26.192	0.6	0.	
9	26.188	0.4	0.	
10	26.184	0.2	0.	
11	25.628	0.8	0.	
12	25.621	0.6	0.	
13	25.613	0.4	0.	
14	25.606	0.2	0.	
15	25.061	0.8	0.	
16	25.05	0.6	0.	
17	25.039	0.4	0.	
18	25.028	0.2	0.	
19	24.494	0.8	0.	
20	24.479	0.6	0.	
21	24.464	0.4	0.	
22	24.45	0.2	0.	
23	23.926	0.8	0.	
24	23.908	0.6	0.	
25	23.89	0.4	0.	
26	23.872	0.2	0.	
27	23.359	0.8	0.	
28	23.337	0.6	0.	
29	23.315	0.4	0.	
30	23.294	0.2	0.	
31	22.792	0.8	0.	
32	22.767	0.6	0.	
33	22.741	0.4	0.	
34	22.715	0.2	0.	
35	22.225	0.8	0.	
36	22.196	0.6	0.	
37	22.166	0.4	0.	
38	22.137	0.2	0.	
39	21.658	0.8	0.	
40	21.625	0.6	0.	
41	21.592	0.4	0.	
42	21.559	0.2	0.	
43	21.091	0.8	0.	
44	21.054	0.6	0.	
45	21.018	0.4	0.	
46	20.981	0.2	0.	
47	20.523	0.8	0.	
48	20.483	0.6	0.	
49	20.443	0.4	0.	
50	20.403	0.2	0.	
51	0.58308	0.2	0.	
52	0.58437	0.4	0.	
53	0.58566	0.6	0.	
54	0.58695	0.8	0.	
55	0.58824	1.	0.	
56	0.58824	1.2	0.	
57	0.58824	1.4	0.	
58	0.58824	1.6	0.	
59	0.58824	1.8	0.	
60	0.58824	2.	0.	
61	0.58824	2.2	0.	
62	0.58824	2.4	0.	
63	0.58824	2.6	0.	
64	0.58824	2.8	0.	
65	0.58824	3.	0.	
66	0.58824	3.2	0.	
67	0.58824	3.4	0.	
68	0.58824	3.6	0.	
69	0.58824	3.8	0.	
70	0.58824	4.	0.	
71	0.58824	4.2	0.	
72	0.58824	4.4	0.	
73	0.58824	4.6	0.	
74	0.58824	4.8	0.	
75	0.58824	5.	0.	
76	0.58824	5.2	0.	
77	0.58824	5.4	0.	
78	0.58824	5.6	0.	
79	0.58824	5.8	0.	
80	0.58824	6.	0.	
81	0.58824	6.2	0.	
82	0.58824	6.4	0.	
83	0.58824	6.6	0.	
84	0.58824	6.8	0.	
85	0.58824	7.	0.	
86	0.58824	7.2	0.	
87	0.58824	7.4	0.	
88	0.58824	7.6	0.	
89	0.58824	7.8	0.	
90	0.58824	8.	0.	
91	0.58824	8.2	0.	
92	0.58824	8.4	0.	
93	0.58824	8.6	0.	
94	0.58824	8.8	0.	
95	0.58824	9.	0.	
96	0.58824	9.2	0.	
97	0.58824	9.4	0.	
98	0.58824	9.6	0.	
99	0.58824	9.8	0.	
100	1.1662	0.2	0.	
101	1.1687	0.4	0.	
102	1.1713	0.6	0.	
103	1.1739	0.8	0.	
104	1.1765	1.	0.	
105	1.1765	1.2	0.	
106	1.1765	1.4	0.	
107	1.1765	1.6	0.	
108	1.1765	1.8	0.	
109	1.1765	2.	0.	
110	1.1765	2.2	0.	
111	1.1765	2.4	0.	
112	1.1765	2.6	0.	
113	1.1765	2.8	0.	
114	1.1765	3.	0.	
115	1.1765	3.2	0.	
116	1.1765	3.4	0.	
117	1.1765	3.6	0.	
118	1.1765	3.8	0.	
119	1.1765	4.	0.	
120	1.1765	4.2	0.	
121	1.1765	4.4	0.	
122	1.1765	4.6	0.	
123	1.1765	4.8	0.	
124	1.1765	5.	0.	
125	1.1765	5.2	0.	
126	1.1765	5.4	0.	
127	1.1765	5.6	0.	
128	1.1765	5.8	0.	
129	1.1765	6.	0.	
130	1.1765	6.2	0.	
131	1.1765	6.4	0.	
132	1.1765	6.6	0.	
133	1.1765	6.8	0.	
134	1.1765	7.	0.	
135	1.1765	7.2	0.	
136	1.1765	7.4	0.	
137	1.1765	7.6	0.	
138	1.1765	7.8	0.	
139	1.1765	8.	0.	
140	1.1765	8.2	0.	
141	1.1765	8.4	0.	
142	1.1765	8.6	0.	
143	1.1765	8.8	0.	
144	1.1765	9.	0.	
145	1.1765	9.2	0.	
146	1.1765	9.4	0.	
147	1.1765	9.6	0.	
148	1.1765	9.8	0.	
149	1.7492	0.2	0.	
150	1.7531	0.4	0.	
151	1.757	0.6	0.	
152	1.7608	0.8	0.	
153	1.7647	1.	0.	
154	1.7647	1.2	0.	
155	1.7647	1.4	0.	
156	1.7647	1.6	0.	
157	1.7647	1.8	0.	
158	1.7647	2.	0.	
159	1.7647	2.2	0.	
160	1.7647	2.4	0.	
161	1.7647	2.6	0.	
162	1.7647	2.8	0.	
163	1.7647	3.	0.	
164	1.7647	3.2	0.	
165	1.7647	3.4	0.	
166	1.7647	3.6	0.	
167	1.7647	3.8	0.	
168	1.7647	4.	0.	
169	1.7647	4.2	0.	
170	1.7647	4.4	0.	
171	1.7647	4.6	0.	
172	1.7647	4.8	0.	
173	1.7647	5.	0.	
174	1.7647	5.2	0.	
175	1.7647	5.4	0.	
176	1.7647	5.6	0.	
177	1.7647	5.8	0.	
178	1.7647	6.	0.	
179	1.7647	6.2	0.	
180	1.7647	6.4	0.	
181	1.7647	6.6	0.	
182	1.7647	6.8	0.	
183	1.7647	7.	0.	
184	1.7647	7.2	0.	
185	1.7647	7.4	0.	
186	1.7647	7.6	0.	
187	1.7647	7.8	0.	
188	1.7647	8.	0.	
189	1.7647	8.2	0.	
190	1.7647	8.4	0.	
191	1.7647	8.6	0.	
192	1.7647	8.8	0.	
193	1.7647	9.	0.	
194	1.7647	9.2	0.	
195	1.7647	9.4	0.	
196	1.7647	9.6	0.	
197	1.7647	9.8	0.	
198	2.3323	0.2	0.	
199	2.3375	0.4	0.	
200	2.3426	0.6	0.	
201	2.3478	0.8	0.	
202	2.3529	1.	0.	
203	2.3529	1.2	0.	
204	2.3529	1.4	0.	
205	2.3529	1.6	0.	
206	2.3529	1.8	0.	
207	2.3529	2.	0.	
208	2.3529	2.2	0.	
209	2.3529	2.4	0.	
210	2.3529	2.6	0.	
211	2.3529	2.8	0.	
212	2.3529	3.	0.	
213	2.3529	3.2	0.	
214	2.3529	3.4	0.	
215	2.3529	3.6	0.	
216	2.3529	3.8	0.	
217	2.3529	4.	0.	
218	2.3529	4.2	0.	
219	2.3529	4.4	0.	
220	2.3529	4.6	0.	
221	2.3529	4.8	0.	
222	2.3529	5.	0.	
223	2.3529	5.2	0.	
224	2.3529	5.4	0.	
225	2.3529	5.6	0.	
226	2.3529	5.8	0.	
227	2.3529	6.	0.	
228	2.3529	6.2	0.	
229	2.3529	6.4	0.	
230	2.3529	6.6	0.	
231	2.3529	6.8	0.	
232	2.3529	7.	0.	
233	2.3529	7.2	0.	
234	2.3529	7.4	0.	
235	2.3529	7.6	0.	
236	2.3529	7.8	0.	
237	2.3529	8.	0.	
238	2.3529	8.2	0.	
239	2.3529	8.4	0.	
240	2.3529	8.6	0.	
241	2.3529	8.8	0.	
242	2.3529	9.	0.	
243	2.3529	9.2	0.	
244	2.3529	9.4	0.	
245	2.3529	9.6	0.	
246	2.3529	9.8	0.	
247	2.9154	0.2	0.	
248	2.9218	0.4	0.	
249	2.9283	0.6	0.	
250	2.9347	0.8	0.	
251	2.9412	1.	0.	
252	2.9412	1.2	0.	
253	2.9412	1.4	0.	
254	2.9412	1.6	0.	
255	2.9412	1.8	0.	
256	2.9412	2.	0.	
257	2.9412	2.2	0.	
258	2.9412	2.4	0.	
259	2.9412	2.6	0.	
260	2.9412	2.8	0.	
261	2.9412	3.	0.	
262	2.9412	3.2	0.	
263	2.9412	3.4	0.	
264	2.9412	3.6	0.	
265	2.9412	3.8	0.	
266	2.9412	4.	0.	
267	2.9412	4.2	0.	
268	2.9412	4.4	0.	
269	2.9412	4.6	0.	
270	2.9412	4.8	0.	
271	2.9412	5.	0.	
272	2.9412	5.2	0.	
273	2.9412	5.4	0.	
274	2.9412	5.6	0.	
275	2.9412	5.8	0.	
276	2.9412	6.	0.	
277	2.9412	6.2	0.	
278	2.9412	6.4	0.	
279	2.9412	6.6	0.	
280	2.9412	6.8	0.	
281	2.9412	7.	0.	
282	2.9412	7.2	0.	
283	2.9412	7.4	0.	
284	2.9412	7.6	0.	
285	2.9412	7.8	0.	
286	2.9412	8.	0.	
287	2.9412	8.2	0.	
288	2.9412	8.4	0.	
289	2.9412	8.6	0.	
290	2.9412	8.8	0.	
291	2.9412	9.	0.	
292	2.9412	9.2	0.	
293	2.9412	9.4	0.	
294	2.9412	9.6	0.	
295	2.9412	9.8	0.	
296	3.4985	0.2	0.	
297	3.5062	0.4	0.	
298	3.5139	0.6	0.	
299	3.5217	0.8	0.	
300	3.5294	1.	0.	
301	3.5294	1.2	0.	
302	3.5294	1.4	0.	
303	3.5294	1.6	0.	
304	3.5294	1.8	0.	
305	3.5294	2.	0.	
306	3.5294	2.2	0.	
307	3.5294	2.4	0.	
308	3.5294	2.6	0.	
309	3.5294	2.8	0.	
310	3.5294	3.	0.	
311	3.5294	3.2	0.	
312	3.5294	3.4	0.	
313	3.5294	3.6	0.	
314	3.5294	3.8	0.	
315	3.5294	4.	0.	
316	3.5294	4.2	0.	
317	3.5294	4.4	0.	
318	3.5294	4.6	0.	
319	3.5294	4.8	0.	
320	3.5294	5.	0.	
321	3.5294	5.2	0.	
322	3.5294	5.4	0.	
323	3.5294	5.6	0.	
324	3.5294	5.8	0.	
325	3.5294	6.	0.	
326	3.5294	6.2	0.	
327	3.5294	6.4	0.	
328	3.5294	6.6	0.	
329	3.5294	6.8	0.	
330	3.5294	7.	0.	
331	3.5294	7.2	0.	
332	3.5294	7.4	0.	
333	3.5294	7.6	0.	
334	3.5294	7.8	0.	
335	3.5294	8.	0.	
336	3.5294	8.2	0.	
337	3.5294	8.4	0.	
338	3.5294	8.6	0.	
339	3.5294	8.8	0.	
340	3.5294	9.	0.	
341	3.5294	9.2	0.	
342	3.5294	9.4	0.	
343	3.5294	9.6	0.	
344	3.5294	9.8	0.	
345	4.0816	0.2	0.	
346	4.0906	0.4	0.	
347	4.0996	0.6	0.	
348	4.1086	0.8	0.	
349	4.1176	1.	0.	
350	4.1176	1.2	0.	
351	4.1176	1.4	0.	
352	4.1176	1.6	0.	
353	4.1176	1.8	0.	
354	4.1176	2.	0.	
355	4.1176	2.2	0.	
356	4.1176	2.4	0.	
357	4.1176	2.6	0.	
358	4.1176	2.8	0.	
359	4.1176	3.	0.	
360	4.1176	3.2	0.	
361	4.1176	3.4	0.	
362	4.1176	3.6	0.	
363	4.1176	3.8	0.	
364	4.1176	4.	0.	
365	4.1176	4.2	0.	
366	4.1176	4.4	0.	
367	4.1176	4.6	0.	
368	4.1176	4.8	0.	
369	4.1176	5.	0.	
370	4.1176	5.2	0.	
371	4.1176	5.4	0.	
372	4.1176	5.6	0.	
373	4.1176	5.8	0.	
374	4.1176	6.	0.	
375	4.1176	6.2	0.	
376	4.1176	6.4	0.	
377	4.1176	6.6	0.	
378	4.1176	6.8	0.	
379	4.1176	7.	0.	
380	4.1176	7.2	0.	
381	4.1176	7.4	0.	
382	4.1176	7.6	0.	
383	4.1176	7.8	0.	
384	4.1176	8.	0.	
385	4.1176	8.2	0.	
386	4.1176	8.4	0.	
387	4.1176	8.6	0.	
388	4.1176	8.8	0.	
389	4.1176	9.	0.	
390	4.1176	9.2	0.	
391	4.1176	9.4	0.	
392	4.1176	9.6	0.	
393	4.1176	9.8	0.	
394	4.6646	0.2	0.	
395	4.675	0.4	0.	
396	4.6853	0.6	0.	
397	4.6956	0.8	0.	
398	4.7059	1.	0.	
399	4.7059	1.2	0.	
400	4.7059	1.4	0.	
401	4.7059	1.6	0.	
402	4.7059	1.8	0.	
403	4.7059	2.	0.	
404	4.7059	2.2	0.	
405	4.7059	2.4	0.	
406	4.7059	2.6	0.	
407	4.7059	2.8	0.	
408	4.7059	3.	0.	
409	4.7059	3.2	0.	
410	4.7059	3.4	0.	
411	4.7059	3.6	0.	
412	4.7059	3.8	0.	
413	4.7059	4.	0.	
414	4.7059	4.2	0.	
415	4.7059	4.4	0.	
416	4.7059	4.6	0.	
417	4.7059	4.8	0.	
418	4.7059	5.	0.	
419	4.7059	5.2	0.	
420	4.7059	5.4	0.	
421	4.7059	5.6	0.	
422	4.7059	5.8	0.	
423	4.7059	6.	0.	
424	4.7059	6.2	0.	
425	4.7059	6.4	0.	
426	4.7059	6.6	0.	
427	4.7059	6.8	0.	
428	4.7059	7.	0.	
429	4.7059	7.2	0.	
430	4.7059	7.4	0.	
431	4.7059	7.6	0.	
432	4.7059	7.8	0.	
433	4.7059	8.	0.	
434	4.7059	8.2	0.	
435	4.7059	8.4	0.	
436	4.7059	8.6	0.	
437	4.7059	8.8	0.	
438	4.7059	9.	0.	
439	4.7059	9.2	0.	
440	4.7059	9.4	0.	
441	4.7059	9.6	0.	
442	4.7059	9.8	0.	
443	5.2477	0.2	0.	
444	5.2593	0.4	0.	
445	5.2709	0.6	0.	
446	5.2825	0.8	0.	
447	5.2941	1.	0.	
448	5.2941	1.2	0.	
449	5.2941	1.4	0.	
450	5.2941	1.6	0.	
451	5.2941	1.8	0.	
452	5.2941	2.	0.	
453	5.2941	2.2	0.	
454	5.2941	2.4	0.	
455	5.2941	2.6	0.	
456	5.2941	2.8	0.	
457	5.2941	3.	0.	
458	5.2941	3.2	0.	
459	5.2941	3.4	0.	
460	5.2941	3.6	0.	
461	5.2941	3.8	0.	
462	5.2941	4.	0.	
463	5.2941	4.2	0.	
464	5.2941	4.4	0.	
465	5.2941	4.6	0.	
466	5.2941	4.8	0.	
467	5.2941	5.	0.	
468	5.2941	5.2	0.	
469	5.2941	5.4	0.	
470	5.2941	5.6	0.	
471	5.2941	5.8	0.	
472	5.2941	6.	0.	
473	5.2941	6.2	0.	
474	5.2941	6.4	0.	
475	5.2941	6.6	0.	
476	5.2941	6.8	0.	
477	5.2941	7.	0.	
478	5.2941	7.2	0.	
479	5.2941	7.4	0.	
480	5.2941	7.6	0.	
481	5.2941	7.8	0.	
482	5.2941	8.	0.	
483	5.2941	8.2	0.	
